iter	Passed	Remaining
0	4	4091
1	8	4116
2	11	3839
3	15	3763
4	18	3719
5	21	3586
6	25	3667
7	29	3610
8	32	3587
9	35	3545
10	39	3513
11	42	3498
12	46	3503
13	49	3477
14	52	3449
15	56	3475
16	59	3459
17	63	3452
18	67	3476
19	70	3472
20	74	3472
21	77	3456
22	81	3466
23	85	3471
24	89	3477
25	92	3478
26	96	3466
27	100	3471
28	104	3494
29	108	3496
30	111	3497
31	116	3526
32	120	3532
33	124	3547
34	129	3559
35	133	3570
36	137	3589
37	142	3604
38	146	3618
39	151	3629
40	155	3630
41	158	3607
42	162	3622
43	167	3634
44	171	3641
45	175	3644
46	179	3642
47	184	3649
48	188	3650
49	191	3633
50	194	3623
51	199	3631
52	203	3630
53	207	3633
54	211	3637
55	216	3651
56	221	3656
57	225	3660
58	228	3649
59	233	3654
60	236	3644
61	241	3650
62	244	3632
63	248	3627
64	251	3623
65	255	3619
66	259	3612
67	263	3608
68	267	3608
69	272	3624
70	278	3640
71	283	3653
72	287	3648
73	290	3633
74	294	3627
75	298	3624
76	301	3619
77	305	3611
78	308	3599
79	312	3590
80	315	3583
81	319	3572
82	322	3567
83	326	3561
84	329	3547
85	332	3537
86	335	3522
87	339	3515
88	342	3507
89	345	3491
90	348	3480
91	352	3475
92	355	3468
93	358	3459
94	362	3455
95	366	3446
96	369	3440
97	372	3426
98	375	3418
99	378	3409
100	382	3402
101	385	3398
102	389	3389
103	392	3385
104	394	3363
105	398	3356
106	401	3351
107	405	3345
108	408	3338
109	411	3330
110	415	3325
111	419	3326
112	423	3320
113	424	3301
114	428	3296
115	432	3293
116	435	3287
117	437	3270
118	441	3269
119	443	3253
120	446	3247
121	449	3232
122	452	3226
123	456	3221
124	459	3216
125	461	3200
126	464	3195
127	468	3190
128	472	3187
129	476	3190
130	480	3186
131	483	3181
132	488	3182
133	491	3178
134	495	3174
135	499	3170
136	502	3164
137	505	3159
138	509	3154
139	512	3149
140	515	3143
141	519	3138
142	522	3134
143	526	3128
144	529	3123
145	533	3117
146	536	3113
147	539	3108
148	543	3102
149	546	3096
150	549	3092
151	553	3086
152	556	3081
153	560	3076
154	563	3070
155	567	3067
156	570	3064
157	574	3059
158	577	3054
159	580	3049
160	584	3044
161	587	3039
162	590	3032
163	593	3027
164	597	3023
165	601	3019
166	604	3014
167	607	3010
168	611	3007
169	614	3002
170	617	2994
171	621	2989
172	624	2987
173	628	2983
174	631	2979
175	635	2974
176	638	2969
177	641	2963
178	644	2958
179	648	2953
180	651	2948
181	655	2944
182	658	2941
183	661	2933
184	665	2929
185	668	2926
186	673	2927
187	677	2925
188	680	2921
189	684	2917
190	688	2916
191	692	2912
192	695	2907
193	698	2903
194	702	2900
195	706	2896
196	708	2889
197	712	2884
198	715	2880
199	719	2876
200	722	2871
201	725	2867
202	729	2863
203	732	2859
204	736	2855
205	739	2850
206	742	2845
207	746	2841
208	749	2836
209	752	2832
210	756	2827
211	759	2823
212	763	2819
213	766	2814
214	769	2809
215	771	2801
216	775	2796
217	778	2793
218	782	2789
219	785	2785
220	788	2781
221	792	2776
222	795	2772
223	798	2767
224	802	2763
225	805	2759
226	810	2761
227	814	2757
228	817	2753
229	821	2749
230	824	2745
231	828	2741
232	831	2737
233	835	2733
234	838	2728
235	841	2725
236	845	2722
237	849	2720
238	853	2716
239	856	2712
240	860	2709
241	862	2702
242	864	2694
243	868	2689
244	871	2685
245	874	2681
246	877	2676
247	881	2671
248	884	2669
249	888	2665
250	892	2662
251	896	2659
252	899	2656
253	903	2654
254	907	2651
255	910	2647
256	914	2643
257	917	2639
258	920	2634
259	924	2630
260	927	2626
261	931	2622
262	934	2618
263	937	2614
264	941	2610
265	944	2605
266	947	2601
267	950	2597
268	954	2593
269	957	2589
270	962	2589
271	966	2586
272	969	2582
273	972	2577
274	976	2573
275	979	2570
276	983	2566
277	986	2563
278	990	2559
279	992	2552
280	996	2549
281	999	2545
282	1003	2542
283	1006	2538
284	1010	2534
285	1013	2530
286	1017	2526
287	1019	2521
288	1023	2517
289	1026	2513
290	1028	2506
291	1031	2502
292	1035	2498
293	1038	2494
294	1042	2491
295	1045	2487
296	1049	2483
297	1052	2479
298	1056	2476
299	1059	2472
300	1063	2470
301	1067	2466
302	1070	2462
303	1074	2459
304	1078	2457
305	1081	2453
306	1084	2448
307	1088	2445
308	1091	2441
309	1095	2437
310	1098	2433
311	1102	2430
312	1105	2427
313	1109	2423
314	1112	2419
315	1115	2415
316	1119	2411
317	1122	2407
318	1125	2403
319	1129	2399
320	1132	2395
321	1135	2391
322	1139	2388
323	1142	2383
324	1145	2379
325	1148	2375
326	1152	2371
327	1156	2368
328	1158	2361
329	1161	2357
330	1164	2353
331	1167	2349
332	1171	2345
333	1174	2341
334	1177	2336
335	1180	2332
336	1184	2329
337	1187	2326
338	1191	2323
339	1195	2319
340	1198	2316
341	1201	2311
342	1205	2308
343	1208	2304
344	1211	2300
345	1215	2296
346	1218	2293
